Feature	Coefficient	Coefficient_Reconstructed	Absolute_difference
Biotype_count	0.9587459188818528	0.9587459188818528	0.0
CI_lower	0.1611981938150711	0.1611981938150711	0.0
CI_upper	-0.1841645914948541	-0.1841645914948541	0.0
CI_width	-0.7490170215482245	-0.7490170215482245	0.0
Effective_Sample_Size	-0.3565898216774673	-0.3565898216774673	0.0
Gene_count	-0.1903809516208569	-0.19038095162085694	5.551115123125783e-17
Has_LOW_impact	0.6084961361748646	0.6084961361748646	0.0
Has_MODIFIER_impact	-1.326459481446	-1.326459481446	0.0
Is_3UTR	0.3843423889902746	0.3843423889902746	0.0
Is_5UTR	0.1154626582160944	0.11546265821609443	2.7755575615628914e-17
Is_downstream	0.0256260102494844	0.025626010249484455	5.551115123125783e-17
Is_intergenic	-2.8922815818582075	-2.8922815818582075	0.0
Is_intronic	-1.1955522015089417	-1.1955522015089417	0.0
Is_regulatory	-1.0183191306700905	-1.0183191306700903	2.220446049250313e-16
Is_splice	-0.088950544611596	-0.08895054461159603	2.7755575615628914e-17
Is_upstream	-0.0872674677449306	-0.08726746774493065	4.163336342344337e-17
MAF	-0.8788927833634945	-0.8788927833634945	0.0
MR_MEGA_Association_P	-0.5014631555243663	-0.5014631555243663	0.0
OR	-0.0804674309311648	-0.0804674309311648	0.0
P_is_zero	-0.1103047092440865	-0.11030470924408656	5.551115123125783e-17
Risk_Allele_Frequency	0.2108792430447137	0.2108792430447137	0.0
SE_log_OR	0.3196257780110722	0.3196257780110722	0.0
Transcript_count	0.0999911418222275	0.09999114182222751	1.3877787807814457e-17
log_OR	0.2819740515877505	0.2819740515877505	0.0
neg_log10_P	-0.3040349779479061	-0.3040349779479061	0.0
