SHAP_Rank	Feature	Mean_Absolute_SHAP	Mean_SHAP
1	Is_intergenic	2.2770249992701324	-0.011000120769421423
2	Is_intronic	1.188004589933045	0.011591215608751688
3	Has_MODIFIER_impact	1.0480946535279045	0.07763664100206735
4	Biotype_count	0.8490859982797939	0.124761452429408
5	MAF	0.7835117090877414	-0.15035260406788895
6	CI_width	0.3985155810069765	0.12326204397600163
7	MR_MEGA_Association_P	0.38428278191332915	0.027649826212297397
8	Effective_Sample_Size	0.2540698406934665	-0.035382267177276085
9	Has_LOW_impact	0.21519699774586282	-0.09659410694274562
10	Is_3UTR	0.2008775494144675	-0.026845386788108435
11	Is_regulatory	0.19118947406989753	-0.19118947406989753
12	Risk_Allele_Frequency	0.1839615128886973	0.016216198860742652
13	SE_log_OR	0.181808976011378	-0.05555748820358484
14	log_OR	0.17503611279088374	-0.06501077132327021
15	neg_log10_P	0.14557541290271325	0.057082468526419995
16	Gene_count	0.11764308081453062	-0.0064149674531583335
17	CI_upper	0.10757167220296271	0.03901083439907768
18	CI_lower	0.09543895583932756	-0.03577444906446079
19	Is_upstream	0.0765492501251152	-0.023798862365359705
20	OR	0.04758142031870994	0.017580527063590368
21	Transcript_count	0.04061677164435416	0.0006431001558204208
22	Is_5UTR	0.037657992314084496	-0.02576599474121569
23	Is_splice	0.030372483889052088	0.020645348525891602
24	Is_downstream	0.02159320706383353	0.0001553468134088765
25	P_is_zero	0.006877297254095286	-0.006877297254095286
