Feature	Coefficient	Absolute_coefficient
Is_intergenic	-2.8922815818582075	2.8922815818582075
Has_MODIFIER_impact	-1.326459481446	1.326459481446
Is_intronic	-1.1955522015089417	1.1955522015089417
Is_regulatory	-1.0183191306700903	1.0183191306700903
Biotype_count	0.9587459188818528	0.9587459188818528
MAF	-0.8788927833634945	0.8788927833634945
CI_width	-0.7490170215482245	0.7490170215482245
Has_LOW_impact	0.6084961361748646	0.6084961361748646
MR_MEGA_Association_P	-0.5014631555243663	0.5014631555243663
Is_3UTR	0.3843423889902746	0.3843423889902746
Effective_Sample_Size	-0.3565898216774673	0.3565898216774673
SE_log_OR	0.3196257780110722	0.3196257780110722
neg_log10_P	-0.3040349779479061	0.3040349779479061
log_OR	0.2819740515877505	0.2819740515877505
Risk_Allele_Frequency	0.2108792430447137	0.2108792430447137
Gene_count	-0.19038095162085694	0.19038095162085694
CI_upper	-0.1841645914948541	0.1841645914948541
CI_lower	0.1611981938150711	0.1611981938150711
Is_5UTR	0.11546265821609443	0.11546265821609443
P_is_zero	-0.11030470924408656	0.11030470924408656
Transcript_count	0.09999114182222751	0.09999114182222751
Is_splice	-0.08895054461159603	0.08895054461159603
Is_upstream	-0.08726746774493065	0.08726746774493065
OR	-0.0804674309311648	0.0804674309311648
Is_downstream	0.025626010249484455	0.025626010249484455
