Feature	Importance
Has_MODERATE_impact	0.5637591065558941
Effective_Sample_Size	0.07129606206108326
Transcript_count	0.07115556159862665
Is_intronic	0.05105223023454697
SE_log_OR	0.03742180250684872
Biotype_count	0.030469725451607556
MAF	0.026334685061037942
Gene_count	0.024344826321622565
CI_width	0.018737895497105875
Has_LOW_impact	0.014510582814143917
Risk_Allele_Frequency	0.013660349943212647
Is_intergenic	0.011400243200526506
CI_upper	0.01050136126176207
log_OR	0.010352917851255458
Is_3UTR	0.009034547811041748
neg_log10_P	0.008952716803239032
OR	0.008557185422808939
CI_lower	0.007545807005751658
Has_MODIFIER_impact	0.004339130103095858
Is_splice	0.0017743818517860484
Is_downstream	0.0014689806452572306
Is_upstream	0.001352256857430895
Is_5UTR	0.0010257276407660892
Has_HIGH_impact	0.0008820916825547537
Is_regulatory	6.982381699350155e-05
P_is_zero	0.0
MR_MEGA_Association_P	0.0
