Threshold	Precision	Recall	F1_score	True_positive	False_positive	True_negative	False_negative
0.05	0.06289308176100629	1.0	0.11834319526627218	10	149	99	0
0.1	0.07936507936507936	1.0	0.14705882352941177	10	116	132	0
0.15	0.08181818181818182	0.9	0.15	9	101	147	1
0.2	0.09375	0.9	0.16981132075471697	9	87	161	1
0.25	0.10843373493975904	0.9	0.1935483870967742	9	74	174	1
0.3	0.13043478260869565	0.9	0.22784810126582278	9	60	188	1
0.35	0.14754098360655737	0.9	0.2535211267605634	9	52	196	1
0.4	0.14285714285714285	0.8	0.24242424242424243	8	48	200	2
0.45	0.16666666666666666	0.8	0.27586206896551724	8	40	208	2
0.5	0.17777777777777778	0.8	0.2909090909090909	8	37	211	2
0.55	0.21052631578947367	0.8	0.3333333333333333	8	30	218	2
0.6	0.23529411764705882	0.8	0.36363636363636365	8	26	222	2
0.65	0.27586206896551724	0.8	0.41025641025641024	8	21	227	2
0.7	0.32	0.8	0.45714285714285713	8	17	231	2
0.75	0.3333333333333333	0.8	0.47058823529411764	8	16	232	2
0.8	0.35	0.7	0.4666666666666667	7	13	235	3
0.85	0.35714285714285715	0.5	0.4166666666666667	5	9	239	5
0.9	0.45454545454545453	0.5	0.47619047619047616	5	6	242	5
