Index_SNV	Primary_gene	Final_Rank	Final_Priority	Integrated_Evidence_Score	Protein_altering_probability	External_GWAS_Evidence_Score	Mean_Sensitivity_Rank	Min_Sensitivity_Rank	Max_Sensitivity_Rank	Rank_SD	Rank_Stability	Robustness_Class
rs429358	APOE	1	HIGH_PRIORITY	0.8579808962880208	0.750992784306723	32.04406192945079	1.2	1	2	0.4472135954999579	HIGHLY_STABLE	ROBUST_TOP_CANDIDATE
rs671	ALDH2	6	PROMISING_CANDIDATE	0.6389293672603406	0.9912902864739122	16.20175421354217	1.8	1	2	0.4472135954999579	HIGHLY_STABLE	ROBUST_TOP_CANDIDATE
rs12140153	INADL	4	STRONG_CANDIDATE	0.6688032960019522	0.979586661526956	15.20531873838396	3.0	3	3	0.0	HIGHLY_STABLE	ROBUST_TOP_CANDIDATE
rs1044531	AKNA	11	PROMISING_CANDIDATE	0.4024896131062606	0.9695613598712748	7.560080465021826	4.4	4	5	0.5477225575051662	HIGHLY_STABLE	ROBUST_STRONG_CANDIDATE
rs73541251	GP2	10	PROMISING_CANDIDATE	0.4402129438524141	0.9999076623225164	5.493061443340549	5.8	5	7	1.0954451150103321	STABLE	ROBUST_STRONG_CANDIDATE
rs33959228	ZNF76	7	STRONG_CANDIDATE	0.6096496480158875	0.993367821553114	5.493061443340549	6.8	6	8	1.0954451150103321	STABLE	ROBUST_STRONG_CANDIDATE
rs2279440	SETD5	13	PROMISING_CANDIDATE	0.3987710998333836	0.8976813212847541	7.742402021815781	7.2	6	9	1.3038404810405297	STABLE	ROBUST_STRONG_CANDIDATE
rs3824004	PAX4	3	STRONG_CANDIDATE	0.6814248580037391	0.9605511594285896	5.493061443340549	8.2	7	10	1.3038404810405297	STABLE	MODERATELY_STABLE
rs35042446	RLF	9	PROMISING_CANDIDATE	0.5451589567300863	0.901668920328454	6.238324625039508	9.6	9	10	0.5477225575051662	HIGHLY_STABLE	MODERATELY_STABLE
rs5215	KCNJ11	2	STRONG_CANDIDATE	0.7450811436322359	0.3736298210790948	19.94492023282137	10.2	4	16	6.016643582596529	SENSITIVE_RANKING	SENSITIVE_RANKING
rs5997539	ASCC2	12	PROMISING_CANDIDATE	0.4002863680628551	0.9694825684851472	3.4657359027997265	10.4	8	13	2.073644135332772	STABLE	MODERATELY_STABLE
rs3734618	KCNK16	5	STRONG_CANDIDATE	0.6675934668623491	0.8128385617092156	6.931471805599453	12.4	11	14	1.51657508881031	STABLE	MODERATELY_STABLE
rs1048155	BHLHE41	14	PROMISING_CANDIDATE	0.368035303613082	0.9267495092778658	3.4657359027997265	12.6	11	14	1.51657508881031	STABLE	MODERATELY_STABLE
rs35632228	LMX1B	15	PROMISING_CANDIDATE	0.3634506465360728	0.9101372292710632	3.4657359027997265	13.6	12	15	1.51657508881031	STABLE	MODERATELY_STABLE
rs12437434	NYNRIN	8	STRONG_CANDIDATE	0.5620119552733286	0.8286822056049042	5.493061443340549	14.2	12	16	1.6431676725154982	STABLE	MODERATELY_STABLE
rs140778879	IDE	16	PROMISING_CANDIDATE	0.3500163146321962	0.9018341774841132	3.4657359027997265	14.6	13	16	1.51657508881031	STABLE	MODERATELY_STABLE
rs17857291	AGAP3	17	PROMISING_CANDIDATE	0.3328160670975028	0.1034965437534494	3.4657359027997265	17.0	17	17	0.0	HIGHLY_STABLE	MODERATELY_STABLE
