Index_SNV	Primary_gene	Score_ML_30_External_70	Rank_ML_30_External_70	Weighting_Scheme	Score_ML_40_External_60	Rank_ML_40_External_60	Score_ML_50_External_50	Rank_ML_50_External_50	Score_ML_60_External_40	Rank_ML_60_External_40	Score_ML_70_External_30	Rank_ML_70_External_30
rs429358	APOE	0.9252978352920168	1.0	ML_30_External_70								
rs5215	KCNJ11	0.5157315186793536	4.0	ML_30_External_70								
rs3824004	PAX4	0.3378228357113574	10.0	ML_30_External_70								
rs12140153	INADL	0.5814263601288662	3.0	ML_30_External_70								
rs3734618	KCNK16	0.328741604748526	11.0	ML_30_External_70								
rs671	ALDH2	0.6093442246915083	2.0	ML_30_External_70								
rs33959228	ZNF76	0.3476678343487146	8.0	ML_30_External_70								
rs12437434	NYNRIN	0.2982621495642518	12.0	ML_30_External_70								
rs35042446	RLF	0.33841270508714516	9.0	ML_30_External_70								
rs73541251	GP2	0.34962978657953536	7.0	ML_30_External_70								
rs1044531	AKNA	0.39115563930175934	5.0	ML_30_External_70								
rs5997539	ASCC2	0.29084477054554414	13.0	ML_30_External_70								
rs2279440	SETD5	0.3740574277742996	6.0	ML_30_External_70								
rs1048155	BHLHE41	0.27802485278335975	14.0	ML_30_External_70								
rs35632228	LMX1B	0.27304116878131895	15.0	ML_30_External_70								
rs140778879	IDE	0.27055025324523396	16.0	ML_30_External_70								
rs17857291	AGAP3	0.031048963126034817	17.0	ML_30_External_70								
rs429358	APOE			ML_40_External_60	0.9003971137226892	1.0						
rs5215	KCNJ11			ML_40_External_60	0.495431276165031	4.0						
rs3824004	PAX4			ML_40_External_60	0.42678402481381916	9.0						
rs12140153	INADL			ML_40_External_60	0.6383064031857362	3.0						
rs3734618	KCNK16			ML_40_External_60	0.3978983128857674	11.0						
rs671	ALDH2			ML_40_External_60	0.6639079478032803	2.0						
rs33959228	ZNF76			ML_40_External_60	0.4399106896636289	8.0						
rs12437434	NYNRIN			ML_40_External_60	0.374036443284345	13.0						
rs35042446	RLF			ML_40_External_60	0.4188778786930465	10.0						
rs73541251	GP2			ML_40_External_60	0.44252662597138986	7.0						
rs1044531	AKNA			ML_40_External_60	0.4737850279545473	5.0						
rs5997539	ASCC2			ML_40_External_60	0.3877930273940589	12.0						
rs2279440	SETD5			ML_40_External_60	0.448860841132936	6.0						
rs1048155	BHLHE41			ML_40_External_60	0.37069980371114636	14.0						
rs35632228	LMX1B			ML_40_External_60	0.3640548917084253	15.0						
rs140778879	IDE			ML_40_External_60	0.3607336709936453	16.0						
rs17857291	AGAP3			ML_40_External_60	0.04139861750137976	17.0						
rs429358	APOE			ML_50_External_50			0.8754963921533615	1.0				
rs5215	KCNJ11			ML_50_External_50			0.4751310336507083	11.0				
rs3824004	PAX4			ML_50_External_50			0.5157452139162808	8.0				
rs12140153	INADL			ML_50_External_50			0.6951864462426062	3.0				
rs3734618	KCNK16			ML_50_External_50			0.4670550210230087	12.0				
rs671	ALDH2			ML_50_External_50			0.7184716709150523	2.0				
rs33959228	ZNF76			ML_50_External_50			0.5321535449785431	6.0				
rs12437434	NYNRIN			ML_50_External_50			0.4498107370044382	16.0				
rs35042446	RLF			ML_50_External_50			0.49934305229894776	9.0				
rs73541251	GP2			ML_50_External_50			0.5354234653632443	5.0				
rs1044531	AKNA			ML_50_External_50			0.5564144166073351	4.0				
rs5997539	ASCC2			ML_50_External_50			0.4847412842425736	10.0				
rs2279440	SETD5			ML_50_External_50			0.5236642544915724	7.0				
rs1048155	BHLHE41			ML_50_External_50			0.4633747546389329	13.0				
rs35632228	LMX1B			ML_50_External_50			0.4550686146355316	14.0				
rs140778879	IDE			ML_50_External_50			0.4509170887420566	15.0				
rs17857291	AGAP3			ML_50_External_50			0.0517482718767247	17.0				
rs429358	APOE			ML_60_External_40					0.8505956705840338	1.0		
rs5215	KCNJ11			ML_60_External_40					0.4548307911363856	16.0		
rs3824004	PAX4			ML_60_External_40					0.6047064030187427	7.0		
rs12140153	INADL			ML_60_External_40					0.7520664892994761	3.0		
rs3734618	KCNK16			ML_60_External_40					0.5362117291602501	14.0		
rs671	ALDH2			ML_60_External_40					0.7730353940268242	2.0		
rs33959228	ZNF76			ML_60_External_40					0.6243964002934572	6.0		
rs12437434	NYNRIN			ML_60_External_40					0.5255850307245314	15.0		
rs35042446	RLF			ML_60_External_40					0.5798082259048489	10.0		
rs73541251	GP2			ML_60_External_40					0.6283203047550987	5.0		
rs1044531	AKNA			ML_60_External_40					0.639043805260123	4.0		
rs5997539	ASCC2			ML_60_External_40					0.5816895410910883	9.0		
rs2279440	SETD5			ML_60_External_40					0.5984676678502087	8.0		
rs1048155	BHLHE41			ML_60_External_40					0.5560497055667195	11.0		
rs35632228	LMX1B			ML_60_External_40					0.5460823375626379	12.0		
rs140778879	IDE			ML_60_External_40					0.5411005064904679	13.0		
rs17857291	AGAP3			ML_60_External_40					0.062097926252069634	17.0		
rs429358	APOE			ML_70_External_30							0.8256949490147061	2.0
rs5215	KCNJ11			ML_70_External_30							0.43453054862206286	16.0
rs3824004	PAX4			ML_70_External_30							0.6936675921212043	7.0
rs12140153	INADL			ML_70_External_30							0.808946532356346	3.0
rs3734618	KCNK16			ML_70_External_30							0.6053684372974915	14.0
rs671	ALDH2			ML_70_External_30							0.8275991171385962	1.0
rs33959228	ZNF76			ML_70_External_30							0.7166392556083714	6.0
rs12437434	NYNRIN			ML_70_External_30							0.6013593244446246	15.0
rs35042446	RLF			ML_70_External_30							0.6602733995107503	10.0
rs73541251	GP2			ML_70_External_30							0.7212171441469531	5.0
rs1044531	AKNA			ML_70_External_30							0.721673193912911	4.0
rs5997539	ASCC2			ML_70_External_30							0.678637797939603	8.0
rs2279440	SETD5			ML_70_External_30							0.673271081208845	9.0
