Final_Rank	Index_SNV	Primary_gene	Most_severe_consequence	Biological_Interpretation	Protein_altering_probability	Has_protein_altering	Predicted_label	OR	neg_log10_P	MAF	Direct_T2D_Associations	Glycemic_Associations	Metabolic_Associations	Lipid_Cardiovascular_Associations	External_GWAS_Evidence_Score	External_Evidence_Tier	Integrated_Evidence_Score	Integrated_Evidence_Tier	Final_Priority
1	rs429358	APOE	missense_variant	Protein_altering_model_supported	0.750992784306723	1	1	1.058	41.12660205427195	0.1429099999999999	12	10	21	344	32.04406192945079	Tier_1_Strong_T2D_related	0.8579808962880208	Tier_1_High_Priority	HIGH_PRIORITY
2	rs5215	KCNJ11	missense_variant	Model_missed_but_external_T2D_supported	0.3736298210790948	1	0	1.069	106.85449912337428	0.3499	17	2	2	0	19.94492023282137	Tier_1_Strong_T2D_related	0.7450811436322359	Tier_2_Strong_Candidate	STRONG_CANDIDATE
3	rs3824004	PAX4	missense_variant	Protein_altering_model_supported	0.9605511594285896	1	1	1.271	40.42120882253605	0.01305	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.6814248580037391	Tier_2_Strong_Candidate	STRONG_CANDIDATE
4	rs12140153	INADL	missense_variant	Protein_altering_model_supported	0.979586661526956	1	1	1.049	12.964105470746146	0.0716299999999999	3	0	27	4	15.20531873838396	Tier_1_Strong_T2D_related	0.6688032960019522	Tier_2_Strong_Candidate	STRONG_CANDIDATE
5	rs3734618	KCNK16	stop_gained	Protein_altering_model_supported	0.8128385617092156	1	1	1.032	31.49253105032648	0.48058	3	0	0	0	6.931471805599453	Tier_2_Replicated_T2D	0.6675934668623491	Tier_2_Strong_Candidate	STRONG_CANDIDATE
6	rs671	ALDH2	missense_variant	Protein_altering_model_supported	0.9912902864739122	1	1	1.048	13.8543821675712	0.06984	1	5	10	12	16.20175421354217	Tier_3_T2D_plus_related	0.6389293672603406	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
7	rs33959228	ZNF76	missense_variant	Protein_altering_model_supported	0.993367821553114	1	1	1.101	13.761416982875126	0.01773	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.6096496480158875	Tier_2_Strong_Candidate	STRONG_CANDIDATE
8	rs12437434	NYNRIN	missense_variant	Protein_altering_model_supported	0.8286822056049042	1	1	1.046	11.605987397706318	0.07242	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.5620119552733286	Tier_2_Strong_Candidate	STRONG_CANDIDATE
9	rs35042446	RLF	missense_variant	Protein_altering_model_supported	0.901668920328454	1	1	1.066	7.388897428970739	0.02722	1	0	3	0	6.238324625039508	Tier_3_T2D_plus_related	0.5451589567300863	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
10	rs73541251	GP2	synonymous_variant	Non_protein_altering_but_external_T2D_supported	0.9999076623225164	0	1	1.033	15.070862197600473	0.07061	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.4402129438524141	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
11	rs1044531	AKNA	3_prime_UTR_variant	Non_protein_altering_but_external_T2D_supported	0.9695613598712748	0	1	1.042	9.13257125285246	0.08011	1	0	1	14	7.560080465021826	Tier_3_T2D_plus_related	0.4024896131062606	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
12	rs5997539	ASCC2	upstream_gene_variant	Non_protein_altering_but_external_T2D_supported	0.9694825684851472	0	1	1.04	20.154203099845173	0.0998299999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.4002863680628551	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
13	rs2279440	SETD5	3_prime_UTR_variant	Non_protein_altering_but_external_T2D_supported	0.8976813212847541	0	1	1.032	14.625584989460847	0.13429	1	1	2	0	7.742402021815781	Tier_3_T2D_plus_related	0.3987710998333836	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
14	rs1048155	BHLHE41	3_prime_UTR_variant	Non_protein_altering_but_external_T2D_supported	0.9267495092778658	0	1	1.017	8.798269883860895	0.4121599999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.368035303613082	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
15	rs35632228	LMX1B	3_prime_UTR_variant	Non_protein_altering_but_external_T2D_supported	0.9101372292710632	0	1	1.026	8.65440752542474	0.16977	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.3634506465360728	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
16	rs140778879	IDE	upstream_gene_variant	Non_protein_altering_but_external_T2D_supported	0.9018341774841132	0	1	1.073	9.034884539711712	0.0259599999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.3500163146321962	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
17	rs17857291	AGAP3	missense_variant	Model_missed_but_external_T2D_supported	0.1034965437534494	1	0	1.021	7.3296048390358814	0.2451499999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.3328160670975028	Tier_3_Promising_Candidate	PROMISING_CANDIDATE
