Query_SNP	DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
rs1044531	2021-12-14	34594039	Sakaue S	2021-09-30	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34594039	A cross-population atlas of genetic associations for 220 human phenotypes.	HDL cholesterol	315,133 European ancestry individuals, 74,970 East Asian ancestry individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	1E-10	10.0		0.0259	[0.018-0.034] unit increase	Affymetrix, Illumina [20525311] (imputed)	N	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST90018956	Genome-wide genotyping array
rs1044531	2022-02-22	35047847	Miao Z	2021-08-24	HGG Adv	www.ncbi.nlm.nih.gov/pubmed/35047847	Identification of 90 NAFLD GWAS loci and establishment of NAFLD PRS and causal role of NAFLD in coronary artery disease.	Nonalcoholic fatty liver disease (imputed)	28,396 European ancestry cases, 108,652 European ancestry controls	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-?	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	3E-8	7.522878745280337		0.00895582	[0.0058-0.0121] unit increase	NR [NR]	N	metabolic dysfunction-associated steatotic liver disease	http://purl.obolibrary.org/obo/MONDO_0013209	GCST90094908	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Phospholipids in large HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	8E-13	12.096910013008056		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	phospholipids in large HDL measurement	http://www.ebi.ac.uk/efo/EFO_0022190	GCST90501142	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Total lipids in large HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	8E-13	12.096910013008056		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	total lipids in large HDL	http://www.ebi.ac.uk/efo/EFO_0022189	GCST90501140	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Free cholesterol in large HDL	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	2E-11	10.698970004336019		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	free cholesterol in large HDL measurement	http://www.ebi.ac.uk/efo/EFO_0022157	GCST90501138	Genome-wide genotyping array
rs1044531	2026-01-14	41044249	Zoodsma M	2025-10-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/41044249	A genetic map of human metabolism across the allele frequency spectrum.	Concentration of large HDL particles	434,646 British ancestry individuals, 8,796 British Central/South Asian individuals, 6,573 British African individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-T	rs1044531	0	1044531	3_prime_UTR_variant	0	NR	2E-12	11.698970004336019		0.02	[0.02-0.02] mmol/L increase	NR [10413938] (imputed)	N	concentration of large HDL particles measurement	http://www.ebi.ac.uk/efo/EFO_0022188	GCST90501141	Genome-wide genotyping array
rs1044531	2025-01-10	38374256	Suzuki K	2024-02-19	Nature	www.ncbi.nlm.nih.gov/pubmed/38374256	Genetic drivers of heterogeneity in type 2 diabetes pathophysiology.	Type 2 diabetes	50,251 African American cases, 103,909 African American controls, 88,109 East Asian ancestry cases, 339,395 East Asian ancestry controls, 242,283 European ancestry cases, 1,569,734 European ancestry controls, 29,375 Hispanic cases, 59,368 Hispanic controls, 1,602 South African ancestry cases, 976 South African ancestry controls, 16,832 South Asian ancestry cases, 33,767 South Asian ancestry controls	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-C	rs1044531	0	1044531	3_prime_UTR_variant	0	0.08011	7E-10	9.154901959985743				Affymetrix, Illumina [NR] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90492734	Genome-wide genotyping array
rs1044531	2024-01-23	38200128	Oliveri A	2024-01-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38200128	Comprehensive genetic study of the insulin resistance marker TG:HDL-C in the UK Biobank.	Triglyceride to HDL cholesterol ratio	402,398 European ancestry individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-C	rs1044531	0	1044531	3_prime_UTR_variant	0	0.0886	1E-8	8.0		0.0316	[0.023-0.04] unit increase	NR [11253896] (imputed)	N	triglyceride:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0007929	GCST90295949	Genome-wide genotyping array
rs1044531	2026-04-14	38640244	Peruchet-Noray L	2024-04-19	Sci Adv	www.ncbi.nlm.nih.gov/pubmed/38640244	Tissue-specific genetic variation suggests distinct molecular pathways between body shape phenotypes and colorectal cancer.	Body shape phenotype PC3	460,198 European ancestry individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-C	rs1044531	0	1044531	3_prime_UTR_variant	0	0.0889691	1E-8	8.0		0.0182499	[0.012-0.025] unit increase	Affymetrix [8889767] (imputed)	N	body shape measurement	http://www.ebi.ac.uk/efo/EFO_0801227	GCST90832991	Genome-wide genotyping array
rs1044531	2024-01-23	38200128	Oliveri A	2024-01-10	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/38200128	Comprehensive genetic study of the insulin resistance marker TG:HDL-C in the UK Biobank.	Triglyceride to HDL cholesterol ratio	216,649 European ancestry individuals	NA	9q32	9	114336370		AKNA			ENSG00000106948			rs1044531-C	rs1044531	0	1044531	3_prime_UTR_variant	0	0.0885	3E-7	6.522878745280337		0.0331	[0.022-0.044] unit increase	NR [11257953] (imputed)	N	triglyceride:HDL cholesterol ratio	http://www.ebi.ac.uk/efo/EFO_0007929	GCST90295951	Genome-wide genotyping array
