SNP	Assembly	Annotation_Chromosome	Annotation_Position	Allele_string	Most_severe_consequence	Gene_symbol	Gene_ID	Transcript_ID	Consequence	Impact	Biotype	Exon	Protein_position	Amino_acids
rs12138597					intron_variant	SKI		ENST00000378536	intron_variant	MODIFIER	protein_coding			
rs12138597					intron_variant	SKI		ENST00000478223	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs12138597					intron_variant	SKI		ENST00000508416	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs12402498					5_prime_UTR_variant	PHF13		ENST00000377648	5_prime_UTR_variant	MODIFIER	protein_coding			
rs12402498					5_prime_UTR_variant	KLHL21		ENST00000463043	intron_variant	MODIFIER	protein_coding			
rs12402498					5_prime_UTR_variant	KLHL21		ENST00000467612	intron_variant	MODIFIER	protein_coding			
rs12402498					5_prime_UTR_variant	PHF13		ENST00000495385	upstream_gene_variant	MODIFIER	processed_transcript			
rs6697896					intron_variant	MTOR		ENST00000361445	intron_variant	MODIFIER	protein_coding			
rs12746673					intron_variant	PLEKHM2		ENST00000375793	intron_variant	MODIFIER	protein_coding			
rs12746673					intron_variant	PLEKHM2		ENST00000375799	intron_variant	MODIFIER	protein_coding			
rs12746673					intron_variant	RP11-288I21.1		ENST00000453804	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs12746673					intron_variant	PLEKHM2		ENST00000462455	downstream_gene_variant	MODIFIER	processed_transcript			
rs10927878					non_coding_transcript_exon_variant	TBC1D3P6		ENST00000505954	non_coding_transcript_exon_variant	MODIFIER	unprocessed_pseudogene			
rs10916784					intron_variant	LINC01141		ENST00000418743	intron_variant,non_coding_transcript_variant	MODIFIER	lincRNA			
rs10916784					intron_variant	LINC01141		ENST00000423486	intron_variant,non_coding_transcript_variant	MODIFIER	lincRNA			
rs10916784					intron_variant	LINC01141		ENST00000426428	intron_variant,non_coding_transcript_variant	MODIFIER	lincRNA			
rs12119086					intron_variant	RP11-293P20.2		ENST00000439239	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs61776586					intron_variant	PDIK1L		ENST00000374269	intron_variant	MODIFIER	protein_coding			
rs61776586					intron_variant	PDIK1L		ENST00000374271	intron_variant	MODIFIER	protein_coding			
rs61776586					intron_variant	PDIK1L		ENST00000444713	intron_variant	MODIFIER	protein_coding			
rs2873789					upstream_gene_variant	GMEB1		ENST00000294409	upstream_gene_variant	MODIFIER	protein_coding			
rs2873789					upstream_gene_variant	GMEB1		ENST00000361872	upstream_gene_variant	MODIFIER	protein_coding			
