Index_SNV	Primary_gene	Final_Rank	Rank_ML_30_External_70	Rank_ML_40_External_60	Rank_ML_50_External_50	Rank_ML_60_External_40	Rank_ML_70_External_30	Mean_Sensitivity_Rank	Median_Sensitivity_Rank	Min_Sensitivity_Rank	Max_Sensitivity_Rank	Rank_SD	Rank_Stability
rs429358	APOE	1	1	1	1	1	2	1.2	1.0	1	2	0.4472135954999579	HIGHLY_STABLE
rs671	ALDH2	6	2	2	2	2	1	1.8	2.0	1	2	0.4472135954999579	HIGHLY_STABLE
rs12140153	INADL	4	3	3	3	3	3	3.0	3.0	3	3	0.0	HIGHLY_STABLE
rs1044531	AKNA	11	5	5	4	4	4	4.4	4.0	4	5	0.5477225575051662	HIGHLY_STABLE
rs73541251	GP2	10	7	7	5	5	5	5.8	5.0	5	7	1.0954451150103321	STABLE
rs33959228	ZNF76	7	8	8	6	6	6	6.8	6.0	6	8	1.0954451150103321	STABLE
rs2279440	SETD5	13	6	6	7	8	9	7.2	7.0	6	9	1.3038404810405297	STABLE
rs3824004	PAX4	3	10	9	8	7	7	8.2	8.0	7	10	1.3038404810405297	STABLE
rs35042446	RLF	9	9	10	9	10	10	9.6	10.0	9	10	0.5477225575051662	HIGHLY_STABLE
rs5215	KCNJ11	2	4	4	11	16	16	10.2	11.0	4	16	6.016643582596529	SENSITIVE_RANKING
rs5997539	ASCC2	12	13	12	10	9	8	10.4	10.0	8	13	2.073644135332772	STABLE
rs3734618	KCNK16	5	11	11	12	14	14	12.4	12.0	11	14	1.51657508881031	STABLE
rs1048155	BHLHE41	14	14	14	13	11	11	12.6	13.0	11	14	1.51657508881031	STABLE
rs35632228	LMX1B	15	15	15	14	12	12	13.6	14.0	12	15	1.51657508881031	STABLE
rs12437434	NYNRIN	8	12	13	16	15	15	14.2	15.0	12	16	1.6431676725154982	STABLE
rs140778879	IDE	16	16	16	15	13	13	14.6	15.0	13	16	1.51657508881031	STABLE
rs17857291	AGAP3	17	17	17	17	17	17	17.0	17.0	17	17	0.0	HIGHLY_STABLE
