Integrated_Evidence_Rank	Index_SNV	Primary_gene	Validation_Group	Most_severe_consequence	Protein_altering_probability	OR	neg_log10_P	MAF	Direct_T2D_Associations	Glycemic_Associations	Metabolic_Associations	Lipid_Cardiovascular_Associations	External_GWAS_Evidence_Score	External_Evidence_Tier	Integrated_Evidence_Score	Integrated_Evidence_Tier
1	rs429358	APOE	True_Positive	missense_variant	0.750992784306723	1.058	41.12660205427195	0.1429099999999999	12	10	21	344	32.04406192945079	Tier_1_Strong_T2D_related	0.8579808962880208	Tier_1_High_Priority
2	rs5215	KCNJ11	False_Negative	missense_variant	0.3736298210790948	1.069	106.85449912337428	0.3499	17	2	2	0	19.94492023282137	Tier_1_Strong_T2D_related	0.7450811436322359	Tier_2_Strong_Candidate
3	rs3824004	PAX4	True_Positive	missense_variant	0.9605511594285896	1.271	40.42120882253605	0.01305	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.6814248580037391	Tier_2_Strong_Candidate
4	rs12140153	INADL	True_Positive	missense_variant	0.979586661526956	1.049	12.964105470746146	0.0716299999999999	3	0	27	4	15.20531873838396	Tier_1_Strong_T2D_related	0.6688032960019522	Tier_2_Strong_Candidate
5	rs3734618	KCNK16	True_Positive	stop_gained	0.8128385617092156	1.032	31.49253105032648	0.48058	3	0	0	0	6.931471805599453	Tier_2_Replicated_T2D	0.6675934668623491	Tier_2_Strong_Candidate
6	rs671	ALDH2	True_Positive	missense_variant	0.9912902864739122	1.048	13.8543821675712	0.06984	1	5	10	12	16.20175421354217	Tier_3_T2D_plus_related	0.6389293672603406	Tier_3_Promising_Candidate
7	rs33959228	ZNF76	True_Positive	missense_variant	0.993367821553114	1.101	13.761416982875126	0.01773	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.6096496480158875	Tier_2_Strong_Candidate
8	rs12437434	NYNRIN	True_Positive	missense_variant	0.8286822056049042	1.046	11.605987397706318	0.07242	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.5620119552733286	Tier_2_Strong_Candidate
9	rs35042446	RLF	True_Positive	missense_variant	0.901668920328454	1.066	7.388897428970739	0.02722	1	0	3	0	6.238324625039508	Tier_3_T2D_plus_related	0.5451589567300863	Tier_3_Promising_Candidate
10	rs73541251	GP2	High_Confidence_False_Positive	synonymous_variant	0.9999076623225164	1.033	15.070862197600473	0.07061	2	0	0	0	5.493061443340549	Tier_2_Replicated_T2D	0.4402129438524141	Tier_3_Promising_Candidate
11	rs1044531	AKNA	High_Confidence_False_Positive	3_prime_UTR_variant	0.9695613598712748	1.042	9.13257125285246	0.08011	1	0	1	14	7.560080465021826	Tier_3_T2D_plus_related	0.4024896131062606	Tier_3_Promising_Candidate
12	rs5997539	ASCC2	High_Confidence_False_Positive	upstream_gene_variant	0.9694825684851472	1.04	20.154203099845173	0.0998299999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.40028636806285517	Tier_3_Promising_Candidate
13	rs2279440	SETD5	High_Confidence_False_Positive	3_prime_UTR_variant	0.8976813212847541	1.032	14.625584989460847	0.13429	1	1	2	0	7.742402021815781	Tier_3_T2D_plus_related	0.3987710998333836	Tier_3_Promising_Candidate
14	rs1048155	BHLHE41	High_Confidence_False_Positive	3_prime_UTR_variant	0.9267495092778658	1.017	8.798269883860895	0.4121599999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.368035303613082	Tier_3_Promising_Candidate
15	rs35632228	LMX1B	High_Confidence_False_Positive	3_prime_UTR_variant	0.9101372292710632	1.026	8.65440752542474	0.16977	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.36345064653607284	Tier_3_Promising_Candidate
16	rs140778879	IDE	High_Confidence_False_Positive	upstream_gene_variant	0.9018341774841132	1.073	9.034884539711712	0.0259599999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.35001631463219623	Tier_3_Promising_Candidate
17	rs17857291	AGAP3	False_Negative	missense_variant	0.1034965437534494	1.021	7.3296048390358814	0.2451499999999999	1	0	0	0	3.4657359027997265	Tier_4_Direct_T2D_only	0.33281606709750283	Tier_3_Promising_Candidate
