SNP	Most_severe_consequence	Gene_symbol	Gene_ID	Transcript_ID	Consequence	Impact	Biotype	Exon	Protein_position	Amino_acids
rs2917677	intron_variant	NQO1		ENST00000320623	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000379046	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000379047	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000439109	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000561500	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000564043	intron_variant	MODIFIER	protein_coding			
rs2917677	intron_variant	NQO1		ENST00000569118	downstream_gene_variant	MODIFIER	retained_intron			
rs2997064	upstream_gene_variant	CAMK1D		ENST00000378845	upstream_gene_variant	MODIFIER	protein_coding			
rs2997064	upstream_gene_variant	CAMK1D		ENST00000378847	upstream_gene_variant	MODIFIER	protein_coding			
rs2997064	upstream_gene_variant	CAMK1D		ENST00000487696	upstream_gene_variant	MODIFIER	processed_transcript			
rs3095633	upstream_gene_variant	AKTIP		ENST00000300245	upstream_gene_variant	MODIFIER	protein_coding			
rs3095633	upstream_gene_variant	AKTIP		ENST00000394657	upstream_gene_variant	MODIFIER	protein_coding			
rs3095633	upstream_gene_variant	AKTIP		ENST00000561799	upstream_gene_variant	MODIFIER	retained_intron			
rs3095633	upstream_gene_variant	AKTIP		ENST00000563108	upstream_gene_variant	MODIFIER	retained_intron			
rs3095633	upstream_gene_variant	AKTIP		ENST00000564497	upstream_gene_variant	MODIFIER	protein_coding			
rs3095633	upstream_gene_variant	AKTIP		ENST00000565408	upstream_gene_variant	MODIFIER	protein_coding			
rs3095633	upstream_gene_variant	AKTIP		ENST00000566045	upstream_gene_variant	MODIFIER	retained_intron			
rs3095633	upstream_gene_variant	AKTIP		ENST00000568596	upstream_gene_variant	MODIFIER	protein_coding			
rs3095633	upstream_gene_variant	AKTIP		ENST00000570004	upstream_gene_variant	MODIFIER	protein_coding			
rs316371	intergenic_variant				intergenic_variant					
rs34080199	intergenic_variant				intergenic_variant					
rs34245505	intron_variant	BMF		ENST00000220446	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000354670	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000397573	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000431415	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000557870	downstream_gene_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000558057	downstream_gene_variant	MODIFIER	processed_transcript			
rs34245505	intron_variant	BMF		ENST00000558774	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000559701	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000560430	downstream_gene_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000561282	intron_variant	MODIFIER	protein_coding			
rs34245505	intron_variant	BMF		ENST00000561360	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000348261	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000348261	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000348261	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000358590	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000358590	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000358590	intron_variant	MODIFIER	protein_coding			
rs34569984	intron_variant	CACNA1H		ENST00000564954	intron_variant,non_coding_transcript_variant	MODIFIER	retained_intron			
