SNP	Most_severe_consequence	Gene_symbol	Gene_ID	Transcript_ID	Consequence	Impact	Biotype	Exon	Protein_position	Amino_acids
rs10088883	intron_variant	SLC30A8		ENST00000427715	intron_variant	MODIFIER	protein_coding			
rs10088883	intron_variant	RP11-654G14.1		ENST00000518439	intron_variant,non_coding_transcript_variant	MODIFIER	sense_intronic			
rs10088883	intron_variant	SLC30A8		ENST00000521035	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10088883	intron_variant	SLC30A8		ENST00000521243	intron_variant	MODIFIER	protein_coding			
rs10088883	intron_variant	SLC30A8		ENST00000524274	intron_variant	MODIFIER	protein_coding			
rs10096860	intergenic_variant				intergenic_variant					
rs10113902	intron_variant	FIBCD1		ENST00000253018	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000253018	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000372337	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000372337	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000372338	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000372338	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000444139	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000444139	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000448616	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000448616	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000451466	intron_variant	MODIFIER	protein_coding			
rs10113902	intron_variant	FIBCD1		ENST00000451466	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000288466	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000288466	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000374124	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000374124	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000374126	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000374126	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000452710	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000452710	intron_variant	MODIFIER	protein_coding			
rs10116566	intron_variant	ZNF618		ENST00000481558	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10116566	intron_variant	ZNF618		ENST00000481558	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000297979	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000297979	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000375315	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000375315	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000424143	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000424143	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000425634	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000425634	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000428313	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000428313	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000433691	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000433691	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000445181	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000445181	intron_variant	MODIFIER	protein_coding			
rs10121760	intron_variant	C9orf3		ENST00000462125	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000462125	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000463372	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000463372	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000468164	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000468164	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000471978	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000471978	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000478473	intron_variant,NMD_transcript_variant	MODIFIER	nonsense_mediated_decay			
rs10121760	intron_variant	C9orf3		ENST00000478473	intron_variant,NMD_transcript_variant	MODIFIER	nonsense_mediated_decay			
rs10121760	intron_variant	C9orf3		ENST00000479161	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000479161	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000489562	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10121760	intron_variant	C9orf3		ENST00000489562	intron_variant,non_coding_transcript_variant	MODIFIER	processed_transcript			
rs10147577	intergenic_variant				intergenic_variant					
rs10152999	intron_variant	RP11-624L4.1		ENST00000558209	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs10152999	intron_variant	RP11-624L4.1		ENST00000558209	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs10152999	intron_variant	RP11-624L4.1		ENST00000559318	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs10152999	intron_variant	RP11-624L4.1		ENST00000559318	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs10152999	intron_variant	RP11-624L4.1		ENST00000560484	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs10152999	intron_variant	RP11-624L4.1		ENST00000560484	intron_variant,non_coding_transcript_variant	MODIFIER	antisense			
rs1022736	intron_variant	TRMT61A		ENST00000299202	intron_variant	MODIFIER	protein_coding			
rs1022736	intron_variant	TRMT61A		ENST00000299202	intron_variant	MODIFIER	protein_coding			
rs1022736	intron_variant	TRMT61A		ENST00000389749	intron_variant	MODIFIER	protein_coding			
rs1022736	intron_variant	TRMT61A		ENST00000389749	intron_variant	MODIFIER	protein_coding			
rs1022736	intron_variant	RP11-600F24.7		ENST00000568177	upstream_gene_variant	MODIFIER	antisense			
rs1022736	intron_variant	RP11-600F24.7		ENST00000568177	upstream_gene_variant	MODIFIER	antisense			
rs1029016	intron_variant	BNC2		ENST00000380666	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380666	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380666	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380667	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380667	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380667	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380672	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380672	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000380672	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000418777	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000418777	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000418777	intron_variant	MODIFIER	protein_coding			
rs1029016	intron_variant	BNC2		ENST00000468187	intron_variant	MODIFIER	protein_coding			
