Query_SNP	Total_GWAS_Associations	Direct_T2D_Associations	Glycemic_Associations	Metabolic_Associations	Lipid_Cardiovascular_Associations	Has_Direct_T2D_Evidence	Has_Glycemic_Evidence	Has_Metabolic_Evidence	Has_Lipid_Cardiovascular_Evidence	Has_T2D_Related_Evidence	Direct_T2D_score	Glycemic_score	Metabolic_score	Lipid_Cardiovascular_score	External_GWAS_Evidence_Score	External_Evidence_Tier	External_GWAS_Rank
rs429358	1418	12	10	21	344	1	1	1	1	1	2.5649493574615367	2.3978952727983707	3.091042453358316	5.84354441703136	32.04406192945079	Tier_1_Strong_T2D_related	1
rs5215	21	17	2	2	0	1	1	1	0	1	2.8903717578961645	1.0986122886681098	1.0986122886681098	0.0	19.94492023282137	Tier_1_Strong_T2D_related	2
rs12140153	65	3	0	27	4	1	0	1	1	1	1.3862943611198906	0.0	3.332204510175204	1.6094379124341003	15.20531873838396	Tier_1_Strong_T2D_related	4
rs3734618	5	3	0	0	0	1	0	0	0	1	1.3862943611198906	0.0	0.0	0.0	6.931471805599453	Tier_2_Replicated_T2D	7
rs33959228	5	2	0	0	0	1	0	0	0	1	1.0986122886681098	0.0	0.0	0.0	5.493061443340549	Tier_2_Replicated_T2D	9
rs73541251	3	2	0	0	0	1	0	0	0	1	1.0986122886681098	0.0	0.0	0.0	5.493061443340549	Tier_2_Replicated_T2D	9
rs12437434	2	2	0	0	0	1	0	0	0	1	1.0986122886681098	0.0	0.0	0.0	5.493061443340549	Tier_2_Replicated_T2D	9
rs3824004	2	2	0	0	0	1	0	0	0	1	1.0986122886681098	0.0	0.0	0.0	5.493061443340549	Tier_2_Replicated_T2D	9
rs671	143	1	5	10	12	1	1	1	1	1	0.6931471805599453	1.791759469228055	2.3978952727983707	2.5649493574615367	16.20175421354217	Tier_3_T2D_plus_related	3
rs2279440	4	1	1	2	0	1	1	1	0	1	0.6931471805599453	0.6931471805599453	1.0986122886681098	0.0	7.742402021815781	Tier_3_T2D_plus_related	5
rs1044531	18	1	0	1	14	1	0	1	1	1	0.6931471805599453	0.0	0.6931471805599453	2.70805020110221	7.5600804650218265	Tier_3_T2D_plus_related	6
rs35042446	4	1	0	3	0	1	0	1	0	1	0.6931471805599453	0.0	1.3862943611198906	0.0	6.238324625039508	Tier_3_T2D_plus_related	8
rs1048155	2	1	0	0	0	1	0	0	0	1	0.6931471805599453	0.0	0.0	0.0	3.4657359027997265	Tier_4_Direct_T2D_only	13
rs140778879	1	1	0	0	0	1	0	0	0	1	0.6931471805599453	0.0	0.0	0.0	3.4657359027997265	Tier_4_Direct_T2D_only	13
rs17857291	1	1	0	0	0	1	0	0	0	1	0.6931471805599453	0.0	0.0	0.0	3.4657359027997265	Tier_4_Direct_T2D_only	13
rs35632228	1	1	0	0	0	1	0	0	0	1	0.6931471805599453	0.0	0.0	0.0	3.4657359027997265	Tier_4_Direct_T2D_only	13
rs5997539	1	1	0	0	0	1	0	0	0	1	0.6931471805599453	0.0	0.0	0.0	3.4657359027997265	Tier_4_Direct_T2D_only	13
